Agency,Complex - Median Number of Days
National Archives and Records Administration,2444.0
U.S. Election Assistance Commission,1002.0
National Science Foundation,871.5
National Railroad Passenger Corporation,589.0
Chemical Safety and Hazard Investigation Board,452.5
Federal Maritime Commission,440.0
Federal Energy Regulatory Commission,354.0
United States Institute of Peace,279.0
Federal Open Market Committee,170.0
Inter-American Foundation,162.0
National Council on Disability,142.0
Small Business Administration,136.0
Merit Systems Protection Board,128.0
U.S. International Development Finance Corporation,113.5
Department of Justice,111.0
Central Intelligence Agency,108.5
Selective Service System,103.0
Council of the Inspectors General on Integrity and Efficiency,102.0
Export-Import Bank of the U.S.,101.0
U.S. Department of State,97.0
Department of the Interior,95.5
Office of the United States Trade Representative,89.0
Office of Personnel Management,88.0
Department of Transportation,87.0
Federal Housing Finance Agency,85.0
Office of the Special Inspector General for Afghanistan Reconstruction,83.0
Tennessee Valley Authority,81.0
Office of the National Cyber Director,80.0
Appraisal Subcommittee,79.0
National Endowment for the Humanities,77.0
Committee for Purchase from People Who Are Blind or Severely Disabled,76.0
National Transportation Safety Board,72.0
Department of Agriculture,68.0
Department of Commerce,68.0
Department of Energy,64.0
Federal Deposit Insurance Corporation,64.0
U.S. Commission on Civil Rights,63.0
United States Copyright Office,62.0
Environmental Protection Agency,59.0
General Services Administration,55.0
Office of Management and Budget,51.0
Federal Reserve System,50.0
National Indian Gaming Commission,49.0
AmeriCorps,48.0
Consumer Product Safety Commission,47.0
Office of Special Counsel,47.0
United States Postal Service,46.0
Office of National Drug Control Policy,44.0
Social Security Administration,43.0
Office of the Director of National Intelligence,43.0
American Battle Monuments Commission,37.0
Consumer Financial Protection Bureau,34.5
Securities and Exchange Commission,32.0
Department of Defense,31.0
Federal Mediation and Conciliation Service,30.0
National Credit Union Administration,30.0
Office of Science and Technology Policy,29.0
Federal Communications Commission,28.0
Department of Education,28.0
Department of Homeland Security,28.0
Occupational Safety and Health Review Commission,26.0
National Endowment for the Arts,24.0
United States International Trade Commission,22.0
Equal Employment Opportunity Commission,21.5
Department of Health and Human Services,21.35
Federal Mine Safety and Health Review Commission,19.0
Court Services and Offender Supervision Agency,18.0
Nuclear Regulatory Commission,16.0
Peace Corps,16.0
Federal Trade Commission,16.0
U.S. Agency for Global Media,15.0
Council on Environmental Quality,14.0
Pension Benefit Guaranty Corporation,12.0
Commodity Futures Trading Commission,12.0
Federal Election Commission,11.0
Department of Labor,11.0
National Aeronautics and Space Administration,10.0
Federal Permitting Improvement Steering Council,6.0
Department of Housing and Urban Development,6.0
Department of Veterans Affairs,3.0
Department of the Treasury,2.0
U.S. Agency for International Development,1.0
Morris K. Udall and Stewart L. Udall Foundation,0.0
