Agency,Within_20_Days,Over_20_Days,Total,Compliance_Rate
AmeriCorps,38,12,50,0.76
Department of Justice,60217,42934,103151,0.5837752421207744
American Battle Monuments Commission,28,1,29,0.9655172413793104
Federal Energy Regulatory Commission,60,66,126,0.47619047619047616
Office of Special Counsel,52,78,130,0.4
Commission of Fine Arts,77,5,82,0.9390243902439024
United States Copyright Office,27,14,41,0.6585365853658537
Office of Science and Technology Policy,56,1,57,0.9824561403508771
Federal Open Market Committee,27,0,27,1.0
U.S. Commission for the Preservation of America’s Heritage Abroad,2,18,20,0.1
U.S. Commission on Civil Rights,14,6,20,0.7
Council of the Inspectors General on Integrity and Efficiency,51,5,56,0.9107142857142857
Office of the National Cyber Director,0,1,1,0.0
Department of Health and Human Services,11994,2395,14389,0.8335534088539857
Morris K. Udall and Stewart L. Udall Foundation,51,1,52,0.9807692307692307
Surface Transportation Board,95,4,99,0.9595959595959596
Department of Energy,1704,884,2588,0.6584234930448223
Consumer Financial Protection Bureau,489,67,556,0.8794964028776978
Federal Labor Relations Authority,103,87,190,0.5421052631578948
U.S. Election Assistance Commission,21,12,33,0.6363636363636364
Federal Communications Commission,334,195,529,0.6313799621928167
Federal Deposit Insurance Corporation,95,79,174,0.5459770114942529
Office of Navajo and Hopi Indian Relocation,72,2,74,0.972972972972973
National Credit Union Administration,246,39,285,0.8631578947368421
National Science Foundation,42,69,111,0.3783783783783784
Millennium Challenge Corporation,6,40,46,0.13043478260869565
Office of National Drug Control Policy,16,0,16,1.0
U.S. Interagency Council on Homelessness,1,10,11,0.09090909090909091
Office of Pandemic Preparedness and Response Policy,0,0,0,
United States Trade and Development Agency,24,53,77,0.3116883116883117
Selective Service System,60,9,69,0.8695652173913043
Court Services and Offender Supervision Agency,254,0,254,1.0
Nuclear Regulatory Commission,217,60,277,0.7833935018050542
Federal Reserve System,228,0,228,1.0
National Labor Relations Board,1556,402,1958,0.7946884576098059
U.S. Agency for International Development,1,1,2,0.5
Department of Transportation,6083,7027,13110,0.4639969488939741
Social Security Advisory Board,40,4,44,0.9090909090909091
Institute of Museum and Library Services,26,0,26,1.0
Federal Maritime Commission,23,50,73,0.3150684931506849
Harry S. Truman Scholarship Foundation,23,0,23,1.0
Neighborhood Reinvestment Corporation,12,31,43,0.27906976744186046
Department of Defense,21684,3163,24847,0.8727009296897009
Federal Mediation and Conciliation Service,81,12,93,0.8709677419354839
Advisory Council on Historic Preservation,7,26,33,0.21212121212121213
Federal Financial Institutions Examination Council,16,32,48,0.3333333333333333
Securities and Exchange Commission,6038,0,6038,1.0
Office of the Intellectual Property Enforcement Coordinator,43,0,43,1.0
Equal Employment Opportunity Commission,14294,2041,16335,0.8750535659626568
Administrative Conference of the United States,145,0,145,1.0
Appraisal Subcommittee,33,4,37,0.8918918918918919
Office of the Director of National Intelligence,124,60,184,0.6739130434782609
Federal Trade Commission,926,74,1000,0.926
Department of Commerce,1950,735,2685,0.7262569832402235
Department of Housing and Urban Development,267,16,283,0.9434628975265018
Gulf Coast Ecosystem Restoration Council,11,0,11,1.0
Pension Benefit Guaranty Corporation,1298,21,1319,0.9840788476118272
United States Access Board,28,13,41,0.6829268292682927
Department of the Treasury,2622,270,2892,0.9066390041493776
Department of Homeland Security,57059,93,57152,0.9983727603583427
Committee for Purchase from People Who Are Blind or Severely Disabled,1,5,6,0.16666666666666666
United States International Trade Commission,74,0,74,1.0
Environmental Protection Agency,2814,1514,4328,0.6501848428835489
Marine Mammal Commission,32,38,70,0.45714285714285713
Department of Labor,7169,1598,8767,0.8177255617657123
U.S. Nuclear Waste Technical Review Board,1,0,1,1.0
United States Postal Service,2999,487,3486,0.8602983362019506
Occupational Safety and Health Review Commission,208,0,208,1.0
Tennessee Valley Authority,162,10,172,0.9418604651162791
Farm Credit Administration,58,15,73,0.7945205479452054
National Railroad Passenger Corporation,489,253,742,0.6590296495956873
Office of Personnel Management,360,263,623,0.5778491171749599
National Endowment for the Humanities,32,0,32,1.0
Legal Services Corporation,31,25,56,0.5535714285714286
Inter-American Foundation,28,8,36,0.7777777777777778
Federal Election Commission,0,0,0,
Denali Commission,34,0,34,1.0
James Madison Memorial Fellowship Foundation,1,14,15,0.06666666666666667
Consumer Product Safety Commission,113,33,146,0.773972602739726
Presidio Trust,5,40,45,0.1111111111111111
Postal Regulatory Commission,199,15,214,0.9299065420560748
U.S. Department of State,1667,48,1715,0.9720116618075801
Federal Housing Finance Agency,105,26,131,0.8015267175572519
Small Business Administration,3597,594,4191,0.8582677165354331
Federal Mine Safety and Health Review Commission,54,0,54,1.0
Office of Government Ethics,97,33,130,0.7461538461538462
Office of the Special Inspector General for Afghanistan Reconstruction,2,6,8,0.25
National Transportation Safety Board,228,117,345,0.6608695652173913
Department of Veterans Affairs,62905,34004,96909,0.64911411736784
United States Institute of Peace,1,11,12,0.08333333333333333
National Mediation Board,65,0,65,1.0
Chemical Safety and Hazard Investigation Board,1,5,6,0.16666666666666666
National Archives and Records Administration,12936,1942,14878,0.869471703185912
Department of Education,404,125,529,0.7637051039697542
National Endowment for the Arts,105,16,121,0.8677685950413223
National Council on Disability,12,6,18,0.6666666666666666
National Aeronautics and Space Administration,486,40,526,0.9239543726235742
Export-Import Bank of the U.S.,77,11,88,0.875
Privacy and Civil Liberties Oversight Board,16,23,39,0.41025641025641024
Defense Nuclear Facilities Safety Board,0,27,27,0.0
Farm Credit System Insurance Corporation,46,7,53,0.8679245283018868
United States International Boundary and Water Commission,19,6,25,0.76
Office of Management and Budget,56,224,280,0.2
National Capital Planning Commission,23,15,38,0.6052631578947368
Central Intelligence Agency,357,43,400,0.8925
Merit Systems Protection Board,69,12,81,0.8518518518518519
Council on Environmental Quality,36,73,109,0.3302752293577982
Commodity Futures Trading Commission,155,0,155,1.0
National Indian Gaming Commission,53,17,70,0.7571428571428571
United States African Development Foundation,0,7,7,0.0
Office of the United States Trade Representative,54,32,86,0.627906976744186
Social Security Administration,8463,2318,10781,0.784992115759206
Armed Forces Retirement Home,31,5,36,0.8611111111111112
General Services Administration,541,653,1194,0.45309882747068675
Department of the Interior,2130,2063,4193,0.5079895063200572
Peace Corps,104,23,127,0.8188976377952756
Department of Agriculture,15486,3031,18517,0.8363125776313658
U.S. Agency for Global Media,41,5,46,0.8913043478260869
Federal Permitting Improvement Steering Council,35,10,45,0.7777777777777778
U.S. Railroad Retirement Board,82,36,118,0.6949152542372882
Federal Retirement Thrift Investment Board,15,67,82,0.18292682926829268
U.S. International Development Finance Corporation,0,30,30,0.0
