Agency,Simple - Median Number of Days,Complex - Median Number of Days,Simple - Average Number of Days,Complex - Average Number of Days
Federal Labor Relations Authority,366.5,,366.5,
Chemical Safety and Hazard Investigation Board,264.5,452.5,360.0,392.0
United States Institute of Peace,151.0,279.0,119.0,277.0
National Science Foundation,112.75,871.5,414.81,1154.5
Office of Management and Budget,112.0,51.0,350.0,346.0
U.S. Interagency Council on Homelessness,93.0,,99.0,
United States African Development Foundation,90.0,,106.0,
Committee for Purchase from People Who Are Blind or Severely Disabled,88.0,76.0,88.0,80.0
U.S. Commission for the Preservation of America’s Heritage Abroad,84.0,,90.0,
Legal Services Corporation,78.0,,78.43,
Inter-American Foundation,69.0,162.0,20.0,162.0
Office of the Special Inspector General for Afghanistan Reconstruction,68.0,83.0,62.0,99.0
Advisory Council on Historic Preservation,65.0,,75.0,
Defense Nuclear Facilities Safety Board,61.0,,61.0,
James Madison Memorial Fellowship Foundation,58.0,,89.0,
Presidio Trust,45.0,,75.0,
Neighborhood Reinvestment Corporation,45.0,,47.0,
Federal Maritime Commission,41.0,440.0,52.0,440.0
Millennium Challenge Corporation,40.5,,52.39,
Federal Retirement Thrift Investment Board,37.0,,43.0,
U.S. Agency for International Development,34.0,1.0,34.0,111.09
Office of the National Cyber Director,31.0,80.0,31.0,161.0
Council on Environmental Quality,28.0,14.0,61.36,131.89
General Services Administration,28.0,55.0,72.67,187.6
United States Trade and Development Agency,26.5,,83.2,
Federal Financial Institutions Examination Council,26.0,,25.0,
Department of Transportation,25.0,87.0,76.14,268.57
Federal Energy Regulatory Commission,25.0,354.0,60.1,459.3
Office of Special Counsel,23.0,47.0,32.52,93.25
U.S. International Development Finance Corporation,23.0,113.5,27.35,333.2
Marine Mammal Commission,22.0,,28.0,
Office of the United States Trade Representative,20.0,89.0,29.0,96.0
National Endowment for the Arts,20.0,24.0,19.0,24.0
Department of the Interior,20.0,95.5,132.43,335.46
United States Copyright Office,19.0,62.0,25.0,95.0
Armed Forces Retirement Home,19.0,,10.0,
U.S. Nuclear Waste Technical Review Board,19.0,,19.0,
Office of Science and Technology Policy,19.0,29.0,11.4,102.6
National Council on Disability,19.0,142.0,25.0,140.0
Federal Deposit Insurance Corporation,19.0,64.0,23.9,83.22
United States International Trade Commission,18.0,22.0,16.0,52.0
Tennessee Valley Authority,18.0,81.0,15.42,133.52
U.S. Election Assistance Commission,17.0,1002.0,266.0,754.0
Privacy and Civil Liberties Oversight Board,17.0,,105.0,
Federal Permitting Improvement Steering Council,17.0,6.0,19.0,15.56
Farm Credit Administration,16.0,,17.0,
U.S. Railroad Retirement Board,15.5,,24.1,
Office of the Director of National Intelligence,15.5,43.0,79.19,265.88
Commission of Fine Arts,15.0,,8.0,
American Battle Monuments Commission,15.0,37.0,14.0,43.0
Farm Credit System Insurance Corporation,15.0,,15.0,
United States Access Board,15.0,,26.0,
Office of National Drug Control Policy,13.0,44.0,12.0,58.0
Federal Housing Finance Agency,13.0,85.0,28.32,146.86
Federal Communications Commission,13.0,28.0,23.6,60.74
Department of Justice,13.0,111.0,72.24,336.72
Social Security Administration,12.0,43.0,13.0,89.0
National Transportation Safety Board,11.0,72.0,35.23,151.19
Appraisal Subcommittee,11.0,79.0,12.0,79.0
Environmental Protection Agency,10.0,59.0,27.6,160.83
Office of Personnel Management,10.0,88.0,42.64,194.15
U.S. Department of State,10.0,97.0,17.34,564.22
Central Intelligence Agency,10.0,108.5,11.38,234.46
National Capital Planning Commission,10.0,,16.21,
Department of Energy,10.0,64.0,30.72,196.14
Federal Mediation and Conciliation Service,10.0,30.0,11.71,30.0
Social Security Advisory Board,10.0,,12.0,
Pension Benefit Guaranty Corporation,10.0,12.0,10.28,12.56
Department of Health and Human Services,10.0,21.35,24.54,88.46
United States International Boundary and Water Commission,9.5,,26.343,
National Endowment for the Humanities,9.5,77.0,9.75,98.91
Office of Government Ethics,9.0,,26.8,
U.S. Commission on Civil Rights,9.0,63.0,51.0,63.0
Department of Education,8.0,28.0,46.39,155.82
Export-Import Bank of the U.S.,8.0,101.0,10.92,125.42
Surface Transportation Board,8.0,,9.82,
Federal Open Market Committee,8.0,170.0,11.3,130.4
Equal Employment Opportunity Commission,8.0,21.5,11.07,52.26
Nuclear Regulatory Commission,8.0,16.0,20.42,118.17
National Labor Relations Board,8.0,,14.98,
Consumer Product Safety Commission,8.0,47.0,40.48,109.36
National Railroad Passenger Corporation,7.05,589.0,52.02,400.0
National Credit Union Administration,7.0,30.0,10.06,30.28
Department of Commerce,7.0,68.0,33.7,229.4
Department of Labor,7.0,11.0,18.14,52.83
AmeriCorps,6.0,48.0,28.0,78.0
Department of Housing and Urban Development,6.0,6.0,7.31,62.6
Harry S. Truman Scholarship Foundation,6.0,,8.0,
Morris K. Udall and Stewart L. Udall Foundation,6.0,0.0,9.0,0.0
Department of Defense,6.0,31.0,30.31,199.75
National Mediation Board,6.0,,5.75,
Selective Service System,5.0,103.0,8.0,94.0
Securities and Exchange Commission,4.0,32.0,5.86,71.27
Small Business Administration,4.0,136.0,27.53,134.54
National Archives and Records Administration,3.0,2444.0,29.0,2183.0
Merit Systems Protection Board,3.0,128.0,13.01,284.56
Office of the Intellectual Property Enforcement Coordinator,3.0,,4.0,
Council of the Inspectors General on Integrity and Efficiency,3.0,102.0,6.75,103.67
United States Postal Service,3.0,46.0,13.04,154.27
Denali Commission,3.0,,3.0,
Department of Homeland Security,3.0,28.0,5.0,57.0
Institute of Museum and Library Services,3.0,,4.96,
Federal Trade Commission,3.0,16.0,6.88,31.49
Federal Reserve System,2.0,50.0,5.0,80.0
U.S. Agency for Global Media,2.0,15.0,5.0,33.0
Peace Corps,2.0,16.0,59.2,82.6
National Aeronautics and Space Administration,2.0,10.0,7.7,22.9
National Indian Gaming Commission,2.0,49.0,10.0,121.0
Office of Navajo and Hopi Indian Relocation,2.0,,4.2,
Department of the Treasury,2.0,2.0,11.07,258.16
Postal Regulatory Commission,2.0,,7.73,
Department of Veterans Affairs,2.0,3.0,40.92,50.83
Gulf Coast Ecosystem Restoration Council,1.0,,1.0,
Administrative Conference of the United States,1.0,,1.13,
Court Services and Offender Supervision Agency,1.0,18.0,2.0,16.0
Consumer Financial Protection Bureau,1.0,34.5,8.33,69.87
Federal Mine Safety and Health Review Commission,1.0,19.0,3.2,35.2
Occupational Safety and Health Review Commission,1.0,26.0,4.0,30.0
Commodity Futures Trading Commission,1.0,12.0,2.15,23.46
Department of Agriculture,1.0,68.0,21.0,179.18
