company,year,rd_billions,capex_billions,revenue_billions,capex_to_rd_ratio,rd_pct_revenue,capex_pct_revenue,capex_minus_rd_billions
Microsoft,2015,12.0,5.9,,0.49,,,-6.1
Microsoft,2016,12.0,8.3,91.2,0.7,13.2,9.2,-3.6
Microsoft,2017,13.0,8.1,96.6,0.62,13.5,8.4,-4.9
Microsoft,2018,14.7,11.6,110.4,0.79,13.3,10.5,-3.1
Microsoft,2019,16.9,13.9,125.8,0.83,13.4,11.1,-3.0
Microsoft,2020,19.3,15.4,143.0,0.8,13.5,10.8,-3.8
Microsoft,2021,20.7,20.6,168.1,1.0,12.3,12.3,-0.1
Microsoft,2022,24.5,23.9,198.3,0.97,12.4,12.0,-0.6
Microsoft,2023,27.2,28.1,211.9,1.03,12.8,13.3,0.9
Microsoft,2024,29.5,44.5,245.1,1.51,12.0,18.1,15.0
Microsoft,2025,32.5,64.6,281.7,1.99,11.5,22.9,32.1
Alphabet,2015,12.3,9.9,,0.81,,,-2.4
Alphabet,2016,13.9,10.2,90.3,0.73,15.5,11.3,-3.7
Alphabet,2017,16.6,13.2,110.9,0.79,15.0,11.9,-3.4
Alphabet,2018,21.4,25.1,136.8,1.17,15.7,18.4,3.7
Alphabet,2019,26.0,23.5,161.9,0.91,16.1,14.5,-2.5
Alphabet,2020,27.6,22.3,182.5,0.81,15.1,12.2,-5.3
Alphabet,2021,31.6,24.6,257.6,0.78,12.3,9.6,-6.9
Alphabet,2022,39.5,31.5,282.8,0.8,14.0,11.1,-8.0
Alphabet,2023,45.4,32.3,307.4,0.71,14.8,10.5,-13.2
Alphabet,2024,49.3,52.5,350.0,1.07,14.1,15.0,3.2
Alphabet,2025,61.1,91.4,,1.5,,,30.4
Meta,2015,4.8,2.5,,0.52,,,-2.3
Meta,2016,5.9,4.5,27.6,0.76,21.4,16.2,-1.4
Meta,2017,7.8,6.7,40.7,0.87,19.1,16.6,-1.0
Meta,2018,10.3,13.9,55.8,1.35,18.4,24.9,3.6
Meta,2019,13.6,15.1,70.7,1.11,19.2,21.4,1.5
Meta,2020,18.4,15.1,86.0,0.82,21.5,17.6,-3.3
Meta,2021,24.7,18.6,117.9,0.75,20.9,15.7,-6.1
Meta,2022,35.3,31.4,116.6,0.89,30.3,27.0,-3.9
Meta,2023,38.5,27.3,134.9,0.71,28.5,20.2,-11.2
Meta,2024,43.9,37.3,164.5,0.85,26.7,22.6,-6.6
Meta,2025,57.4,69.7,201.0,1.21,28.5,34.7,12.3
Apple,2015,8.1,11.2,,1.39,,,3.2
Apple,2016,10.0,12.7,,1.27,,,2.7
Apple,2017,11.6,12.5,229.2,1.08,5.1,5.4,0.9
Apple,2018,14.2,13.3,265.6,0.94,5.4,5.0,-0.9
Apple,2019,16.2,10.5,260.2,0.65,6.2,4.0,-5.7
Apple,2020,18.8,7.3,274.5,0.39,6.8,2.7,-11.4
Apple,2021,21.9,11.1,365.8,0.51,6.0,3.0,-10.8
Apple,2022,26.3,10.7,394.3,0.41,6.7,2.7,-15.5
Apple,2023,29.9,11.0,383.3,0.37,7.8,2.9,-19.0
Apple,2024,31.4,9.4,391.0,0.3,8.0,2.4,-21.9
Apple,2025,34.5,12.7,416.2,0.37,8.3,3.1,-21.8
