year_month,AES/PHEAA,EdFinancial Services,MOHELA,"Maximus Federal Services, Inc.","Navient Solutions, LLC.","Nelnet, Inc."
2018-01,137,4,7,0,257,58
2018-02,107,5,6,0,189,55
2018-03,129,1,8,0,244,43
2018-04,133,7,3,0,231,42
2018-05,118,6,2,0,189,47
2018-06,105,6,11,0,153,58
2018-07,121,3,4,0,212,44
2018-08,123,4,5,0,197,43
2018-09,119,2,4,0,147,47
2018-10,158,4,6,0,172,39
2018-11,108,3,5,0,174,31
2018-12,124,3,2,0,193,28
2019-01,145,1,5,0,245,43
2019-02,161,3,1,0,225,30
2019-03,174,6,4,0,202,49
2019-04,193,1,2,0,139,45
2019-05,129,2,6,0,139,52
2019-06,104,3,4,0,137,34
2019-07,125,5,4,0,151,48
2019-08,117,1,1,0,126,34
2019-09,120,3,5,0,106,37
2019-10,135,3,6,0,148,40
2019-11,122,2,2,0,119,23
2019-12,76,2,7,0,85,48
2020-01,142,3,1,0,98,54
2020-02,106,3,5,0,118,43
2020-03,124,0,2,0,89,46
2020-04,113,3,0,0,86,51
2020-05,88,5,4,0,84,48
2020-06,62,2,2,0,76,36
2020-07,59,0,1,0,74,37
2020-08,60,2,2,0,61,33
2020-09,48,0,1,0,47,31
2020-10,54,1,2,0,74,34
2020-11,52,0,1,0,61,27
2020-12,54,1,6,0,63,22
2021-01,65,3,1,0,69,43
2021-02,69,3,4,0,64,36
2021-03,86,0,2,0,69,43
2021-04,67,1,2,0,67,28
2021-05,65,1,1,0,40,24
2021-06,53,0,2,0,37,21
2021-07,124,3,1,0,56,22
2021-08,104,4,4,0,71,26
2021-09,108,1,4,0,50,34
2021-10,137,3,5,0,65,46
2021-11,104,2,1,1,63,40
2021-12,84,1,3,14,56,42
2022-01,133,1,11,42,93,62
2022-02,151,8,10,48,74,76
2022-03,220,4,11,67,57,55
2022-04,152,15,15,65,83,75
2022-05,85,7,8,33,54,52
2022-06,105,9,8,38,49,32
2022-07,100,10,19,40,51,47
2022-08,108,52,23,43,76,51
2022-09,119,453,86,62,65,124
2022-10,133,257,327,193,60,186
2022-11,60,50,127,101,32,63
2022-12,30,23,161,77,35,45
2023-01,22,11,230,58,33,45
2023-02,22,20,241,24,30,42
2023-03,27,19,217,22,28,36
2023-04,14,13,133,20,19,40
2023-05,7,21,130,30,19,42
2023-06,6,27,117,30,19,69
2023-07,12,25,152,43,36,103
2023-08,12,109,190,68,49,138
2023-09,8,286,400,174,30,310
2023-10,13,312,674,308,39,577
2023-11,10,214,552,228,33,402
2023-12,11,159,530,121,26,296
2024-01,2,189,737,145,37,297
2024-02,4,120,594,94,24,189
2024-03,10,110,607,119,22,215
2024-04,9,116,432,82,29,166
2024-05,7,58,301,76,53,148
2024-06,10,76,259,64,49,100
2024-07,4,57,285,71,38,126
2024-08,6,68,318,64,36,98
2024-09,10,74,335,216,307,119
2024-10,3,75,416,213,164,124
2024-11,5,65,372,95,13,71
2024-12,7,76,655,130,33,140
2025-01,4,112,883,211,104,297
2025-02,9,140,632,181,33,376
2025-03,17,287,1040,433,49,889
2025-04,4,170,695,288,40,438
2025-05,7,117,757,187,32,355
2025-06,3,111,497,164,23,242
2025-07,2,120,517,168,28,254
2025-08,4,100,372,168,8,187
2025-09,7,105,421,150,11,212
2025-10,7,97,400,161,18,180
2025-11,6,93,309,127,9,209
2025-12,8,117,499,208,12,261
2026-01,7,160,639,248,17,363
2026-02,6,92,444,186,41,270
2026-03,1,81,272,120,28,136
